date_time,Wx,Wy,max_Wx,max_Wy
2018-01-01 00:10:00,1.4874418014972417,-11.267847187779868,6.144989217702753,-13.10623582896008
2018-01-01 01:10:00,1.7334462481890252,-11.301735854046466,7.310639948820001,-13.912914950818791
2018-01-01 02:10:00,0.7541420530048892,-10.2206150658309,5.217633467682184,-12.161924609490177
2018-01-01 03:10:00,1.1436396758759566,-8.902845853532586,5.55299426846209,-11.325063747918914
2018-01-01 04:10:00,-1.1854590877147322,-9.028808694470968,1.4277494180577683,-11.594624980534546
2018-01-01 05:10:00,-0.45405245235927144,-8.722089519175238,2.8240104156302155,-11.655257243939836
2018-01-01 06:10:00,-0.9408499012181564,-8.832933480638115,3.128141764181582,-11.577339303708039
2018-01-01 07:10:00,-1.2693675622228289,-8.314764530759513,1.943620278116953,-10.889404137256207
2018-01-01 08:10:00,-3.0953974873198393,-9.769760332551359,1.4479581506152819,-14.714529708898848
2018-01-01 09:10:00,-4.8284113436935785,-10.041666432225838,-1.6050484126505484,-15.322463877687817
2018-01-01 10:10:00,-5.138694781985925,-10.97991440529436,1.2022091620898947,-16.293106882684686
2018-01-01 11:10:00,-7.1817565267943735,-13.749120423861536,-2.8870939769000286,-18.911391239635112
2018-01-01 12:10:00,-5.858553084059346,-12.807999931732462,-0.2890446209099736,-18.81788025302327
2018-01-01 13:10:00,-5.729194743986153,-13.002113603006297,-0.5460271810340237,-17.570217642578367
2018-01-01 14:10:00,-5.738445777814011,-10.756188799713799,0.301876447341301,-16.955312872682136
2018-01-01 15:10:00,-3.946123340169928,-11.3444716062127,1.3466795710302533,-15.97032194831932
2018-01-01 16:10:00,-5.49626760732294,-8.906167848670524,-1.3863095500547378,-14.720465793969533
2018-01-01 17:10:00,-2.660076747453494,-10.154048581115676,1.410881354563354,-13.158477230034844
2018-01-01 18:10:00,-2.6777406324143294,-7.698074782406137,-0.03572550457192509,-11.371743882462491
2018-01-01 19:10:00,-2.716744590931906,-6.4064658367654035,0.7778271394466457,-8.855003317398602
2018-01-01 20:10:00,-1.943224147147131,-5.882654333202343,-0.40102664169718166,-8.25866915384368
2018-01-01 21:10:00,-0.9601026824701855,-4.948521746856686,0.6181561621095752,-6.064577393293448
2018-01-01 22:10:00,-0.402513283784556,-5.255107354410277,0.4061288993383343,-6.082456355546025
2018-01-01 23:10:00,-0.006821582258330461,-4.8855952376364025,1.4896190474163165,-5.5905458099880105
2018-01-02 00:10:00,0.7526555279410758,-3.726042316756445,1.5942651364730924,-3.922273305702502
2018-01-02 01:10:00,1.9526801845573543,-3.325602553949744,2.748682606048587,-3.6186320027333467
2018-01-02 02:10:00,3.0695746143530456,-4.496455735011672,4.897868250488445,-4.596188147895739
2018-01-02 03:10:00,1.4933506431429655,-5.067438827122088,2.8103468082635796,-5.756963653462015
2018-01-02 04:10:00,1.919144925315994,-3.7795708705663755,3.1241298340698798,-4.112907097160658
2018-01-02 05:10:00,1.4410314969569789,-3.711357961013452,2.0290315460667574,-4.066052708102287
2018-01-02 06:10:00,1.8104962790354215,-3.7087811520227096,2.19752035591525,-3.9775190666215683
2018-01-02 07:10:00,1.0321639180972897,-3.5713364299906067,2.040991858808893,-3.709482638087935
2018-01-02 08:10:00,0.798386113649077,-3.2701501576429672,3.1313034491722163,-4.107448200428362
2018-01-02 09:10:00,2.056403681762914,-3.8000679648700935,5.29623167858107,-3.0184674930822655
2018-01-02 10:10:00,-0.3758480589077568,-3.361352633481835,4.3344961520645455,-3.8321417598697525
2018-01-02 11:10:00,-0.5751698309390809,-4.630918042416375,4.740133935406724,-5.1874713757673465
2018-01-02 12:10:00,-3.3669150554089553,-5.289071284229445,-0.13175419309144962,-8.577688180541585
2018-01-02 13:10:00,-3.1859520576987497,-7.299300238793106,0.9407673602073078,-10.709960700860139
2018-01-02 14:10:00,-4.554796516627114,-6.205142661705814,-2.4148369374106555,-10.47649101587536
2018-01-02 15:10:00,-4.946604764496955,-5.536364492503723,-1.5835827822292639,-9.691575185790338
2018-01-02 16:10:00,-5.691367292747195,-5.499930135833315,-2.633710397523402,-10.423620819176854
2018-01-02 17:10:00,-4.822388610685656,-4.422002769959475,-2.315779208820975,-8.903152644765365
2018-01-02 18:10:00,-4.172774453185632,-5.684701980125375,-1.451788455678191,-9.084121897022273
2018-01-02 19:10:00,-5.406236954955312,-3.199787309630987,-4.868895931410479,-7.063139960321789
2018-01-02 20:10:00,-2.00789400933002,-2.360936707600739,-2.118534263544446,-3.302491413189169
2018-01-02 21:10:00,-2.2041417105653944,-1.7797888413364824,-2.8262044900501926,-2.7216181106871207
2018-01-02 22:10:00,-3.5923758428392656,-0.24616344932762652,-3.895017930703388,-0.47272854737057796
2018-01-02 23:10:00,-2.0540476134941046,1.4212294823494103,-2.390282608724666,1.2168590265221384
2018-01-03 00:10:00,-1.3637993663022216,2.628789367460554,-1.642455668329109,2.8655693653397365
2018-01-03 01:10:00,0.25489352869775556,2.562755245634668,-0.6283048836332532,2.9257971944758245
2018-01-03 02:10:00,0.3792097832629434,2.3727891499831313,0.1712174927501313,2.987597834410843
2018-01-03 03:10:00,0.18648906424797465,3.3566234624866573,-0.18619493306545226,3.9191795578795254
2018-01-03 04:10:00,0.7318177186968698,3.390520430052193,0.3269535747150959,3.9099537490846386
2018-01-03 05:10:00,0.41817095448748115,4.524918418361046,-0.08292938599732486,5.1642341859116065
2018-01-03 06:10:00,-0.04431155605993164,4.8822989191567885,-0.9149933385396988,5.398305037734342
2018-01-03 07:10:00,1.1005696197540262,6.254406187806679,-1.3298845703612447,7.846092723739318
